epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6917,1.34174,2.09985,1.30857,0.00025,0.0398,0.00015,3e-05,1.91007,4.23094,2.69847,0.0025,0.0025,0.0775
2,20.7447,1.26576,1.21082,1.35131,0.00197,0.02239,0.00085,0.0002,3.9732,inf,30.2235,0.00506634,0.00506634,0.0540663
3,30.2773,1.19718,1.08015,1.31432,0,0,0,0,nan,nan,nan,0.00759836,0.00759836,0.0305984
4,39.6895,1.2329,1.0818,1.33159,0.21259,0.77207,0.51704,0.25536,1.96113,3.04514,2.70502,0.009802,0.009802,0.009802
5,48.7363,1.15764,0.96023,1.26363,0.0625,0.00124,0.03151,0.00315,2.71798,20.9512,3.33909,0.009736,0.009736,0.009736
6,57.7942,1.16214,0.95343,1.30001,0.92784,0.85621,0.93824,0.6932,0.98855,0.89228,1.30141,0.00967,0.00967,0.00967
7,66.9195,1.11539,0.86234,1.24652,0.9515,0.72772,0.96509,0.73958,0.91638,1.41768,1.233,0.009604,0.009604,0.009604
8,76.1815,1.13238,0.87632,1.26783,0.68087,0.90741,0.77656,0.53311,1.04165,1.99154,1.32121,0.009538,0.009538,0.009538
9,85.492,1.08958,0.81891,1.21566,0.88778,0.85262,0.90101,0.67503,1.1107,2.03386,1.40556,0.009472,0.009472,0.009472
10,94.5774,1.06918,0.7871,1.23292,0.94862,0.90365,0.92844,0.68498,1.10598,0.8403,1.34477,0.009406,0.009406,0.009406
11,106.367,1.11109,0.83782,1.24316,0.94809,0.92792,0.96934,0.75386,0.88072,0.66408,1.16271,0.00934,0.00934,0.00934
12,115.845,1.05615,0.78431,1.21653,0.90991,0.88596,0.92182,0.71221,0.99396,0.79017,1.25168,0.009274,0.009274,0.009274
13,124.958,1.0501,0.70688,1.189,0.90937,0.8079,0.88145,0.65868,1.02589,0.90477,1.31246,0.009208,0.009208,0.009208
14,134.191,1.06474,0.70684,1.19877,0.93179,0.85907,0.91369,0.70654,0.96064,0.67865,1.24074,0.009142,0.009142,0.009142
15,143.285,1.03591,0.69766,1.19111,0.97513,0.93999,0.96159,0.73591,0.96329,1.12208,1.20603,0.009076,0.009076,0.009076
16,152.554,1.01485,0.69421,1.18384,0.93022,0.89237,0.91237,0.61789,1.1699,0.73179,1.39802,0.00901,0.00901,0.00901
17,162.189,1.01348,0.68247,1.1789,0.95102,0.91477,0.93758,0.68298,1.06418,0.61069,1.30283,0.008944,0.008944,0.008944
18,171.796,1.06086,0.67025,1.19284,0.98254,0.93213,0.94154,0.72141,0.97406,0.67069,1.23655,0.008878,0.008878,0.008878
19,181.367,1.00197,0.62289,1.18545,0.96211,0.96969,0.98061,0.76273,0.89517,0.55123,1.16293,0.008812,0.008812,0.008812
20,191.04,1.01019,0.64809,1.17574,0.94455,0.97082,0.961,0.72993,0.92302,0.64516,1.1809,0.008746,0.008746,0.008746
21,200.819,0.9972,0.6461,1.15568,0.91566,0.95556,0.96999,0.74286,0.88892,1.2449,1.16412,0.00868,0.00868,0.00868
22,210.836,0.98826,0.62277,1.16835,0.96437,0.94576,0.97287,0.75627,0.86832,0.75913,1.15294,0.008614,0.008614,0.008614
23,220.848,0.98256,0.6491,1.16558,0.97254,0.94245,0.94591,0.74954,0.9093,0.52785,1.18215,0.008548,0.008548,0.008548
24,230.059,1.02285,0.63927,1.19848,0.88298,0.77415,0.85549,0.66467,0.98943,1.30278,1.22433,0.008482,0.008482,0.008482
25,239.467,1.00107,0.63803,1.16199,0.98152,0.93981,0.95012,0.75051,0.90918,0.52659,1.2001,0.008416,0.008416,0.008416
26,249.156,0.97053,0.61815,1.1663,0.97125,0.94297,0.95639,0.75496,0.8889,0.47191,1.17377,0.00835,0.00835,0.00835
27,258.733,0.98915,0.62946,1.15787,0.97818,0.96147,0.96893,0.76368,0.87709,0.44454,1.15212,0.008284,0.008284,0.008284
28,268.593,0.96761,0.60858,1.16122,0.96253,0.93777,0.94841,0.75468,0.88841,0.55094,1.17587,0.008218,0.008218,0.008218
29,278.334,0.9912,0.61978,1.15887,0.97909,0.94241,0.94393,0.70842,1.00687,0.78292,1.24785,0.008152,0.008152,0.008152
30,288.689,0.99834,0.61855,1.17982,0.97596,0.93621,0.94985,0.72674,1.01779,0.52514,1.27367,0.008086,0.008086,0.008086
31,303.215,1.02207,0.62843,1.16563,0.95852,0.94652,0.96852,0.76192,0.86984,0.56979,1.1611,0.00802,0.00802,0.00802
32,318.243,0.98404,0.61358,1.17004,0.97512,0.94413,0.94772,0.75441,0.87426,0.48517,1.16381,0.007954,0.007954,0.007954
33,334.342,0.99855,0.60626,1.16089,0.98123,0.92328,0.94596,0.72158,1.03486,0.53827,1.28146,0.007888,0.007888,0.007888
34,350.119,0.97237,0.59886,1.16348,0.98205,0.94545,0.94636,0.76606,0.86564,0.43474,1.14677,0.007822,0.007822,0.007822
35,364.987,0.97369,0.60073,1.1529,0.6926,0.30452,0.39812,0.29983,2.20365,2.63061,2.15577,0.007756,0.007756,0.007756
36,375.244,0.95642,0.57183,1.15139,0.96255,0.91625,0.94027,0.73042,0.92568,0.47945,1.19285,0.00769,0.00769,0.00769
37,384.834,0.9783,0.60012,1.16226,0.96901,0.89912,0.93494,0.73705,0.90765,0.57865,1.1784,0.007624,0.007624,0.007624
38,394.087,0.99762,0.60586,1.17025,0.97634,0.94575,0.9613,0.7688,0.88012,0.44986,1.15799,0.007558,0.007558,0.007558
39,403.622,1.0183,0.60756,1.18266,0.2973,0.4206,0.31915,0.17877,2.58354,1.57288,3.06276,0.007492,0.007492,0.007492
40,413.098,0.97643,0.60374,1.16183,0.97074,0.95578,0.96601,0.7602,0.93455,0.45389,1.18355,0.007426,0.007426,0.007426
41,423.14,0.95414,0.5825,1.14158,0.97515,0.97333,0.97527,0.76836,0.90907,0.42293,1.16113,0.00736,0.00736,0.00736
42,432.808,0.96445,0.58055,1.13533,0.96126,0.94221,0.95615,0.72865,1.05298,0.50585,1.25733,0.007294,0.007294,0.007294
43,442.517,0.96435,0.54859,1.13365,0.98494,0.94973,0.95871,0.75201,0.93645,0.46784,1.19105,0.007228,0.007228,0.007228
44,452.095,0.9664,0.56399,1.12401,0.98133,0.9439,0.96968,0.76723,0.84726,0.43219,1.13603,0.007162,0.007162,0.007162
45,461.85,0.97422,0.60439,1.15291,0.98667,0.97355,0.97808,0.76152,0.84778,0.43104,1.12678,0.007096,0.007096,0.007096
46,471.166,0.93281,0.56138,1.14159,0.98628,0.96113,0.96533,0.76926,0.87764,0.45,1.15614,0.00703,0.00703,0.00703
47,480.269,0.9608,0.56884,1.14231,0.92495,0.87623,0.92246,0.71849,0.96873,0.67131,1.24344,0.006964,0.006964,0.006964
48,489.256,0.97161,0.59872,1.14722,0.98347,0.93268,0.95987,0.75151,0.9432,0.47891,1.21104,0.006898,0.006898,0.006898
49,498.284,0.92625,0.54458,1.12503,0.98087,0.96973,0.97288,0.78307,0.82884,0.40791,1.11298,0.006832,0.006832,0.006832
50,507.404,0.92634,0.53285,1.11425,0.97936,0.938,0.94866,0.75681,0.91437,0.43619,1.17966,0.006766,0.006766,0.006766
51,516.439,0.94509,0.54318,1.13041,0.97778,0.95297,0.96118,0.77282,0.88657,0.40799,1.15274,0.0067,0.0067,0.0067
52,525.698,0.94379,0.55171,1.11293,0.97638,0.96341,0.96327,0.76541,0.85344,0.4132,1.12715,0.006634,0.006634,0.006634
53,535.317,0.94621,0.56358,1.14532,0.96982,0.95456,0.95494,0.7398,0.93941,0.4363,1.19602,0.006568,0.006568,0.006568
54,544.642,0.96048,0.60325,1.16229,0.98918,0.93869,0.95341,0.75769,0.90837,0.42411,1.17922,0.006502,0.006502,0.006502
55,554.662,0.9395,0.55014,1.13377,0.99043,0.96184,0.96855,0.77159,0.9131,0.39985,1.17733,0.006436,0.006436,0.006436
56,564.217,0.93893,0.55725,1.13937,0.98252,0.97555,0.98233,0.77864,0.83906,0.40554,1.11433,0.00637,0.00637,0.00637
57,573.761,0.89516,0.51177,1.10891,0.97999,0.94722,0.95521,0.77124,0.8482,0.42566,1.13252,0.006304,0.006304,0.006304
58,583.618,0.9322,0.54426,1.10686,0.96423,0.95067,0.95311,0.76444,0.88382,0.46112,1.15773,0.006238,0.006238,0.006238
59,593.297,0.9163,0.53606,1.11061,0.98511,0.9564,0.96445,0.77279,0.83903,0.40038,1.11614,0.006172,0.006172,0.006172
60,602.935,0.92705,0.54175,1.12018,0.97247,0.963,0.95994,0.76829,0.86134,0.40585,1.12954,0.006106,0.006106,0.006106
61,612.506,0.91425,0.53526,1.11495,0.97802,0.94997,0.96243,0.7772,0.85232,0.41713,1.13289,0.00604,0.00604,0.00604
62,622.286,0.9279,0.53726,1.10785,0.97969,0.94328,0.95816,0.7627,0.92743,0.44741,1.19387,0.005974,0.005974,0.005974
63,631.842,0.91809,0.51175,1.11834,0.98825,0.95016,0.96042,0.77167,0.8372,0.42991,1.13353,0.005908,0.005908,0.005908
64,641.693,0.92019,0.53168,1.1276,0.9832,0.94699,0.95738,0.76423,0.89599,0.40545,1.16847,0.005842,0.005842,0.005842
65,651.472,0.92563,0.54113,1.11437,0.97386,0.95791,0.95696,0.75768,0.90376,0.41885,1.16569,0.005776,0.005776,0.005776
66,661.284,0.92275,0.53443,1.12174,0.9825,0.96762,0.96662,0.77356,0.84602,0.43119,1.13018,0.00571,0.00571,0.00571
67,670.772,0.9312,0.54304,1.13729,0.87071,0.79811,0.83183,0.60944,1.10077,0.84185,1.30026,0.005644,0.005644,0.005644
68,679.837,0.91639,0.51378,1.11686,0.9792,0.94224,0.96031,0.76437,0.90159,0.49752,1.15357,0.005578,0.005578,0.005578
69,689.031,0.93154,0.55053,1.13976,0.97492,0.9484,0.96691,0.78978,0.84564,0.39464,1.12674,0.005512,0.005512,0.005512
70,698.236,0.90629,0.52563,1.13281,0.97154,0.95615,0.96266,0.77529,0.88412,0.39997,1.15446,0.005446,0.005446,0.005446
71,707.49,0.89806,0.49529,1.10544,0.97189,0.95443,0.96152,0.77111,0.90773,0.40425,1.1645,0.00538,0.00538,0.00538
72,717.036,0.89788,0.52123,1.14007,0.98126,0.94451,0.96034,0.77146,0.86734,0.39954,1.1428,0.005314,0.005314,0.005314
73,726.566,0.90507,0.5123,1.11505,0.97504,0.96232,0.97052,0.77894,0.83105,0.38968,1.11625,0.005248,0.005248,0.005248
74,736.484,0.88698,0.51229,1.11144,0.97486,0.95683,0.9591,0.7791,0.80979,0.39036,1.11392,0.005182,0.005182,0.005182
