epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.486,1.58199,2.53225,1.36415,0.80109,0.72731,0.84739,0.48363,1.37778,1.8136,1.12042,0.000412541,0.000412541,0.000412541
2,32.698,1.50526,1.23224,1.38659,0.98066,0.9869,0.98638,0.49357,1.63808,1.08156,1.2843,0.000823735,0.000823735,0.000823735
3,45.2989,1.46992,1.1034,1.36129,0.95813,0.9711,0.99121,0.59467,1.30553,1.02684,1.25996,0.00122943,0.00122943,0.00122943
4,57.509,1.48768,1.08963,1.39523,0.93671,0.96876,0.97732,0.49276,1.54269,1.15547,1.29518,0.00122525,0.00122525,0.00122525
5,70.9083,1.46348,1.05389,1.37287,0.95215,0.9684,0.98622,0.57671,1.3088,0.96367,1.27173,0.001217,0.001217,0.001217
6,85.1082,1.47011,0.99158,1.37994,0.9644,0.97264,0.97492,0.49569,1.55404,1.01754,1.25627,0.00120875,0.00120875,0.00120875
7,108.706,1.44798,1.00281,1.36303,0.98151,0.9891,0.99126,0.56342,1.36813,0.90325,1.21001,0.0012005,0.0012005,0.0012005
8,123.884,1.40242,0.94286,1.35206,0.9496,0.96575,0.98473,0.51978,1.46897,0.99801,1.30789,0.00119225,0.00119225,0.00119225
9,136.945,1.4044,0.91315,1.34163,0.98487,0.99408,0.99233,0.61205,1.24778,0.80641,1.19314,0.001184,0.001184,0.001184
10,154.592,1.42368,0.90764,1.36171,0.96305,0.97541,0.9866,0.58888,1.23038,0.91467,1.27754,0.00117575,0.00117575,0.00117575
11,172.944,1.42945,0.90222,1.36807,0.89578,0.90573,0.9358,0.48461,1.63426,0.94586,1.34248,0.0011675,0.0011675,0.0011675
12,184.98,1.39423,0.8591,1.31965,0.97345,0.9799,0.98688,0.59166,1.33979,0.76705,1.23564,0.00115925,0.00115925,0.00115925
13,197.105,1.37231,0.8379,1.32001,0.99447,0.99364,0.99392,0.59326,1.33797,0.71655,1.23771,0.001151,0.001151,0.001151
14,209.279,1.40276,0.84844,1.35446,0.93677,0.93646,0.96799,0.48158,1.58085,0.88788,1.35694,0.00114275,0.00114275,0.00114275
15,224.446,1.37193,0.80497,1.32805,0.98387,0.98588,0.99166,0.57719,1.33434,0.7579,1.25401,0.0011345,0.0011345,0.0011345
16,257.201,1.36888,0.78821,1.32253,0.97992,0.98513,0.99166,0.63421,1.20728,0.74222,1.26727,0.00112625,0.00112625,0.00112625
17,289.043,1.38916,0.80127,1.34745,0.99174,0.99671,0.99283,0.65022,1.16777,0.66486,1.19845,0.001118,0.001118,0.001118
18,301.177,1.39574,0.78143,1.35842,0.97847,0.98511,0.99097,0.56379,1.38878,0.78939,1.26465,0.00110975,0.00110975,0.00110975
19,313.304,1.34247,0.75721,1.32514,0.99418,0.997,0.99212,0.61576,1.25693,0.71552,1.26303,0.0011015,0.0011015,0.0011015
20,325.445,1.38964,0.7846,1.34251,0.99168,0.99378,0.99096,0.64667,1.18421,0.63928,1.16748,0.00109325,0.00109325,0.00109325
21,337.903,1.36055,0.75348,1.32768,0.98783,0.9925,0.99099,0.5758,1.36824,0.75433,1.26622,0.001085,0.001085,0.001085
22,351.525,1.34582,0.75205,1.31646,0.98697,0.9933,0.99316,0.60287,1.3438,0.71596,1.26564,0.00107675,0.00107675,0.00107675
23,375.267,1.35069,0.71371,1.32097,0.97339,0.97886,0.98055,0.54515,1.46679,0.7447,1.31598,0.0010685,0.0010685,0.0010685
24,402.535,1.37119,0.71621,1.3304,0.95464,0.97163,0.98653,0.57036,1.38922,0.80087,1.31614,0.00106025,0.00106025,0.00106025
25,429.714,1.36263,0.73925,1.34086,0.96465,0.97671,0.98121,0.56198,1.40158,0.78639,1.34534,0.001052,0.001052,0.001052
26,442.804,1.37626,0.71752,1.35564,0.97757,0.97911,0.98645,0.55753,1.46558,0.71527,1.33107,0.00104375,0.00104375,0.00104375
27,470.397,1.3249,0.68677,1.33082,0.9926,0.98765,0.99355,0.63304,1.30085,0.61799,1.24006,0.0010355,0.0010355,0.0010355
28,483.629,1.35505,0.71462,1.32111,0.94168,0.95301,0.95878,0.46878,1.6905,0.83752,1.38803,0.00102725,0.00102725,0.00102725
29,496.838,1.383,0.71709,1.34236,0.9337,0.94353,0.95663,0.41167,2.03809,0.80443,1.53065,0.001019,0.001019,0.001019
30,509.497,1.33811,0.68965,1.30901,0.97907,0.98011,0.98259,0.52668,1.57441,0.75949,1.33173,0.00101075,0.00101075,0.00101075
31,533.554,1.37565,0.71057,1.35215,0.97229,0.98757,0.98808,0.55206,1.49675,0.7264,1.30528,0.0010025,0.0010025,0.0010025
32,550.471,1.3245,0.70899,1.29685,0.97961,0.9797,0.98561,0.52696,1.57874,0.73428,1.31256,0.00099425,0.00099425,0.00099425
33,563.252,1.33367,0.67698,1.3146,0.98654,0.99005,0.99016,0.58111,1.40427,0.65736,1.25132,0.000986,0.000986,0.000986
34,575.641,1.33,0.66275,1.31903,0.98908,0.99276,0.99107,0.58826,1.4181,0.69514,1.29632,0.00097775,0.00097775,0.00097775
35,592.118,1.32733,0.68253,1.3162,0.97299,0.9837,0.98728,0.55446,1.449,0.77285,1.30115,0.0009695,0.0009695,0.0009695
36,615.378,1.31191,0.65796,1.30336,0.9908,0.97996,0.99356,0.61169,1.33172,0.62703,1.24026,0.00096125,0.00096125,0.00096125
37,627.383,1.3488,0.66839,1.33805,0.98477,0.99374,0.99154,0.5934,1.37952,0.66783,1.284,0.000953,0.000953,0.000953
38,639.409,1.33032,0.6599,1.32494,0.9841,0.99378,0.99014,0.59233,1.40977,0.60832,1.27631,0.00094475,0.00094475,0.00094475
39,651.519,1.30859,0.65683,1.31258,0.96061,0.98134,0.97828,0.53014,1.54784,0.71862,1.35583,0.0009365,0.0009365,0.0009365
40,663.555,1.33476,0.66006,1.32189,0.97985,0.98142,0.98441,0.51021,1.66127,0.67589,1.34917,0.00092825,0.00092825,0.00092825
41,675.512,1.31505,0.63243,1.32171,0.99129,0.99327,0.99212,0.54739,1.52973,0.65534,1.34398,0.00092,0.00092,0.00092
42,687.541,1.30883,0.63159,1.31385,0.95218,0.96104,0.96607,0.53286,1.54869,0.68686,1.33268,0.00091175,0.00091175,0.00091175
43,699.901,1.31271,0.63929,1.31781,0.95916,0.97717,0.9675,0.49016,1.64079,0.76916,1.42622,0.0009035,0.0009035,0.0009035
44,712.364,1.3011,0.62556,1.31179,0.98513,0.99005,0.98565,0.55696,1.55616,0.632,1.3305,0.00089525,0.00089525,0.00089525
45,724.781,1.32023,0.63327,1.32373,0.98284,0.98015,0.98706,0.58099,1.44707,0.64305,1.34449,0.000887,0.000887,0.000887
46,736.773,1.32491,0.65997,1.32478,0.98572,0.99234,0.99178,0.56886,1.49101,0.6399,1.29001,0.00087875,0.00087875,0.00087875
47,748.675,1.27519,0.62449,1.29026,0.99171,0.98908,0.9908,0.56986,1.48683,0.64222,1.32605,0.0008705,0.0008705,0.0008705
48,760.848,1.30536,0.62099,1.31705,0.98773,0.98394,0.99021,0.59314,1.42465,0.64695,1.33754,0.00086225,0.00086225,0.00086225
49,772.926,1.32315,0.64548,1.34634,0.96765,0.97886,0.97328,0.5271,1.5869,0.65843,1.40238,0.000854,0.000854,0.000854
50,785.001,1.28936,0.6284,1.32137,0.98263,0.99254,0.98675,0.55161,1.53999,0.64202,1.34158,0.00084575,0.00084575,0.00084575
51,797.092,1.30896,0.62794,1.32573,0.99041,0.99072,0.9929,0.63492,1.27919,0.56944,1.27552,0.0008375,0.0008375,0.0008375
52,809.105,1.30016,0.61709,1.3359,0.992,0.99528,0.99241,0.68116,1.13901,0.52576,1.19531,0.00082925,0.00082925,0.00082925
53,821.515,1.31809,0.62103,1.32357,0.9799,0.98169,0.98086,0.58222,1.44303,0.63821,1.31056,0.000821,0.000821,0.000821
